y T
0 300
0.000155477 300
0.000310954 300
0.000466431 300
0.000621908 300
0.000777385 300
0.000932862 300
0.00108834 300
0.00124382 300
0.00139929 300
0.00155477 300
0.00171025 300
0.00186572 300
0.0020212 300
0.00217668 300
0.00233216 300
0.00248763 300
0.00264311 300
0.00279859 300
0.00295406 300
0.00310954 300
0.00326502 300.001
0.00342049 300.004
0.00357597 300.016
0.00373145 300.072
0.00388693 300.327
0.0040424 301.512
0.00419788 307.024
0.00435336 332.109
0.00450883 428.632
0.00466431 587.344
0.00481979 697.842
0.00497526 749.572
0.00513074 770.376
0.00528622 777.954
0.0054417 780.55
0.00559717 781.416
0.00575265 781.702
0.00590813 781.797
0.0060636 781.828
0.00621908 781.838
0.00637456 781.841
0.00653004 781.842
0.00668551 781.843
0.00684099 781.843
0.00699647 781.843
0.00715194 781.843
0.00730742 781.843
0.0074629 781.843
0.00761837 781.843
0.00777385 781.843
0.00792933 781.843
0.00808481 781.843
0.00824028 781.843
0.00839576 781.843
0.00855124 781.843
0.00870671 781.843
0.00886219 781.843
0.00901767 781.843
0.00917314 781.843
0.00932862 781.843
0.0094841 781.843
