y v
0 1710.23
0.000155477 1710.23
0.000310954 1710.23
0.000466431 1710.23
0.000621908 1710.23
0.000777385 1710.23
0.000932862 1710.23
0.00108834 1710.23
0.00124382 1710.23
0.00139929 1710.23
0.00155477 1710.23
0.00171025 1710.23
0.00186572 1710.23
0.0020212 1710.23
0.00217668 1710.23
0.00233216 1710.23
0.00248763 1710.23
0.00264311 1710.23
0.00279859 1710.23
0.00295406 1710.22
0.00310954 1710.2
0.00326502 1710.15
0.00342049 1709.96
0.00357597 1709.36
0.00373145 1707.42
0.00388693 1701.14
0.0040424 1681.32
0.00419788 1621.47
0.00435336 1467.16
0.00450883 1187.65
0.00466431 860.009
0.00481979 596.18
0.00497526 430.651
0.00513074 342.079
0.00528622 299.126
0.0054417 279.375
0.00559717 270.524
0.00575265 266.604
0.00590813 264.877
0.0060636 264.118
0.00621908 263.785
0.00637456 263.638
0.00653004 263.574
0.00668551 263.546
0.00684099 263.534
0.00699647 263.528
0.00715194 263.526
0.00730742 263.525
0.0074629 263.524
0.00761837 263.524
0.00777385 263.524
0.00792933 263.524
0.00808481 263.524
0.00824028 263.524
0.00839576 263.524
0.00855124 263.524
0.00870671 263.524
0.00886219 263.524
0.00901767 263.524
0.00917314 263.524
0.00932862 263.524
0.0094841 263.524
