y rho
0 0.00064317
0.000155477 0.00064317
0.000310954 0.00064317
0.000466431 0.00064317
0.000621908 0.00064317
0.000777385 0.00064317
0.000932862 0.00064317
0.00108834 0.00064317
0.00124382 0.00064317
0.00139929 0.00064317
0.00155477 0.00064317
0.00171025 0.00064317
0.00186572 0.00064317
0.0020212 0.00064317
0.00217668 0.00064317
0.00233216 0.00064317
0.00248763 0.00064317
0.00264311 0.00064317
0.00279859 0.000643171
0.00295406 0.000643174
0.00310954 0.000643184
0.00326502 0.000643215
0.00342049 0.000643318
0.00357597 0.000643653
0.00373145 0.000644742
0.00388693 0.000648272
0.0040424 0.000659688
0.00419788 0.000696224
0.00435336 0.00080626
0.00450883 0.00108927
0.00466431 0.00164333
0.00481979 0.00240469
0.00497526 0.00313024
0.00513074 0.00363611
0.00528622 0.00391981
0.0054417 0.00406026
0.00559717 0.00412573
0.00575265 0.00415557
0.00590813 0.00416921
0.0060636 0.0041756
0.00621908 0.00417875
0.00637456 0.00418044
0.00653004 0.00418143
0.00668551 0.00418205
0.00684099 0.00418243
0.00699647 0.00418264
0.00715194 0.00418267
0.00730742 0.00418254
0.0074629 0.00418224
0.00761837 0.00418178
0.00777385 0.00418114
0.00792933 0.00418033
0.00808481 0.00417936
0.00824028 0.00417823
0.00839576 0.00417697
0.00855124 0.00417559
0.00870671 0.00417413
0.00886219 0.00417263
0.00901767 0.0041712
0.00917314 0.00416994
0.00932862 0.00416908
0.0094841 0.00416908
