y p
0 99.999
0.000155477 99.999
0.000310954 99.999
0.000466431 99.999
0.000621908 99.999
0.000777385 99.999
0.000932862 99.999
0.00108834 99.999
0.00124382 99.999
0.00139929 99.999
0.00155477 99.999
0.00171025 99.999
0.00186572 99.999
0.0020212 99.999
0.00217668 99.999
0.00233216 99.999
0.00248763 99.999
0.00264311 99.9991
0.00279859 99.9993
0.00295406 100
0.00310954 100.002
0.00326502 100.01
0.00342049 100.037
0.00357597 100.126
0.00373145 100.429
0.00388693 101.478
0.0040424 105.176
0.00419788 118.377
0.00435336 163.302
0.00450883 286.289
0.00466431 532.564
0.00481979 876.632
0.00497526 1208.51
0.00513074 1441.59
0.00528622 1572.75
0.0054417 1637.72
0.00559717 1667.93
0.00575265 1681.61
0.00590813 1687.76
0.0060636 1690.56
0.00621908 1691.87
0.00637456 1692.52
0.00653004 1692.87
0.00668551 1693.09
0.00684099 1693.24
0.00699647 1693.34
0.00715194 1693.43
0.00730742 1693.49
0.0074629 1693.53
0.00761837 1693.55
0.00777385 1693.56
0.00792933 1693.55
0.00808481 1693.53
0.00824028 1693.49
0.00839576 1693.45
0.00855124 1693.39
0.00870671 1693.33
0.00886219 1693.26
0.00901767 1693.19
0.00917314 1693.12
0.00932862 1693.06
0.0094841 1693.06
