y v_t
0 1710.23
0.000155477 1710.23
0.000310954 1710.23
0.000466431 1710.23
0.000621908 1710.23
0.000777385 1710.23
0.000932862 1710.23
0.00108834 1710.23
0.00124382 1710.23
0.00139929 1710.23
0.00155477 1710.23
0.00171025 1710.23
0.00186572 1710.23
0.0020212 1710.23
0.00217668 1710.23
0.00233216 1710.23
0.00248763 1710.23
0.00264311 1710.23
0.00279859 1710.23
0.00295406 1710.22
0.00310954 1710.2
0.00326502 1710.15
0.00342049 1709.97
0.00357597 1709.4
0.00373145 1707.53
0.00388693 1701.5
0.0040424 1682.45
0.00419788 1624.8
0.00435336 1474.76
0.00450883 1199.02
0.00466431 870.855
0.00481979 603.675
0.00497526 434.86
0.00513074 344.11
0.00528622 299.966
0.0054417 279.618
0.00559717 270.47
0.00575265 266.393
0.00590813 264.574
0.0060636 263.753
0.00621908 263.372
0.00637456 263.189
0.00653004 263.094
0.00668551 263.041
0.00684099 263.01
0.00699647 262.992
0.00715194 262.983
0.00730742 262.983
0.0074629 262.989
0.00761837 263.003
0.00777385 263.023
0.00792933 263.05
0.00808481 263.082
0.00824028 263.12
0.00839576 263.162
0.00855124 263.208
0.00870671 263.257
0.00886219 263.308
0.00901767 263.359
0.00917314 263.41
0.00932862 263.46
0.0094841 263.524
