y T
0 300
0.000155477 300
0.000310954 300
0.000466431 300
0.000621908 300
0.000777385 300
0.000932862 300
0.00108834 300
0.00124382 300
0.00139929 300
0.00155477 300
0.00171025 300
0.00186572 300
0.0020212 300
0.00217668 300
0.00233216 300
0.00248763 300
0.00264311 300
0.00279859 300
0.00295406 300.001
0.00310954 300.004
0.00326502 300.013
0.00342049 300.046
0.00357597 300.161
0.00373145 300.58
0.00388693 302.137
0.0040424 307.993
0.00419788 329.354
0.00435336 394.128
0.00450883 511.654
0.00466431 628.836
0.00481979 705.455
0.00497526 746.034
0.00513074 765.606
0.00528622 774.608
0.0054417 778.647
0.00559717 780.436
0.00575265 781.225
0.00590813 781.571
0.0060636 781.724
0.00621908 781.791
0.00637456 781.82
0.00653004 781.833
0.00668551 781.838
0.00684099 781.841
0.00699647 781.842
0.00715194 781.842
0.00730742 781.843
0.0074629 781.843
0.00761837 781.843
0.00777385 781.843
0.00792933 781.843
0.00808481 781.843
0.00824028 781.843
0.00839576 781.843
0.00855124 781.843
0.00870671 781.843
0.00886219 781.843
0.00901767 781.843
0.00917314 781.843
0.00932862 781.843
0.0094841 781.843
