y T
0 300
0.000155477 300
0.000310954 300
0.000466431 300
0.000621908 300
0.000777385 300
0.000932862 300
0.00108834 300
0.00124382 300
0.00139929 300
0.00155477 300
0.00171025 300
0.00186572 300
0.0020212 300
0.00217668 300
0.00233216 300
0.00248763 300
0.00264311 300
0.00279859 300
0.00295406 300
0.00310954 300
0.00326502 300.001
0.00342049 300.005
0.00357597 300.021
0.00373145 300.095
0.00388693 300.426
0.0040424 301.921
0.00419788 308.706
0.00435336 338.608
0.00450883 450.701
0.00466431 657.101
0.00481979 825.4
0.00497526 913.046
0.00513074 950.606
0.00528622 965.125
0.0054417 970.57
0.00559717 972.72
0.00575265 973.724
0.00590813 974.35
0.0060636 974.866
0.00621908 975.37
0.00637456 975.895
0.00653004 976.456
0.00668551 977.06
0.00684099 977.712
0.00699647 978.413
0.00715194 979.165
0.00730742 979.966
0.0074629 980.811
0.00761837 981.694
0.00777385 982.605
0.00792933 983.53
0.00808481 984.451
0.00824028 985.352
0.00839576 986.21
0.00855124 987.008
0.00870671 987.726
0.00886219 988.349
0.00901767 988.865
0.00917314 989.258
0.00932862 989.502
0.0094841 989.502
