y v
0 1710.23
0.000155477 1710.23
0.000310954 1710.23
0.000466431 1710.23
0.000621908 1710.23
0.000777385 1710.23
0.000932862 1710.23
0.00108834 1710.23
0.00124382 1710.23
0.00139929 1710.23
0.00155477 1710.23
0.00171025 1710.23
0.00186572 1710.23
0.0020212 1710.23
0.00217668 1710.23
0.00233216 1710.23
0.00248763 1710.23
0.00264311 1710.23
0.00279859 1710.23
0.00295406 1710.23
0.00310954 1710.23
0.00326502 1710.22
0.00342049 1710.21
0.00357597 1710.16
0.00373145 1709.95
0.00388693 1709.05
0.0040424 1705.31
0.00419788 1689.99
0.00435336 1630.21
0.00450883 1430.61
0.00466431 1055.43
0.00481979 707.932
0.00497526 503.443
0.00513074 410.222
0.00528622 373.658
0.0054417 360.282
0.00559717 355.445
0.00575265 353.601
0.00590813 352.767
0.0060636 352.254
0.00621908 351.831
0.00637456 351.429
0.00653004 351.034
0.00668551 350.65
0.00684099 350.285
0.00699647 349.949
0.00715194 349.647
0.00730742 349.383
0.0074629 349.157
0.00761837 348.968
0.00777385 348.813
0.00792933 348.688
0.00808481 348.589
0.00824028 348.51
0.00839576 348.448
0.00855124 348.398
0.00870671 348.358
0.00886219 348.325
0.00901767 348.296
0.00917314 348.268
0.00932862 348.241
0.0094841 348.205
