y v_t
0 1710.23
0.000155477 1710.23
0.000310954 1710.23
0.000466431 1710.23
0.000621908 1710.23
0.000777385 1710.23
0.000932862 1710.23
0.00108834 1710.23
0.00124382 1710.23
0.00139929 1710.23
0.00155477 1710.23
0.00171025 1710.23
0.00186572 1710.23
0.0020212 1710.23
0.00217668 1710.23
0.00233216 1710.23
0.00248763 1710.23
0.00264311 1710.23
0.00279859 1710.23
0.00295406 1710.23
0.00310954 1710.23
0.00326502 1710.22
0.00342049 1710.22
0.00357597 1710.17
0.00373145 1710
0.00388693 1709.25
0.0040424 1706.13
0.00419788 1693.26
0.00435336 1642.5
0.00450883 1465.54
0.00466431 1101.14
0.00481979 737.727
0.00497526 515.496
0.00513074 412.071
0.00528622 371.174
0.0054417 356.269
0.00559717 351.012
0.00575265 349.179
0.00590813 348.543
0.0060636 348.322
0.00621908 348.246
0.00637456 348.219
0.00653004 348.21
0.00668551 348.207
0.00684099 348.206
0.00699647 348.205
0.00715194 348.205
0.00730742 348.205
0.0074629 348.205
0.00761837 348.205
0.00777385 348.205
0.00792933 348.205
0.00808481 348.205
0.00824028 348.205
0.00839576 348.205
0.00855124 348.205
0.00870671 348.205
0.00886219 348.205
0.00901767 348.205
0.00917314 348.205
0.00932862 348.205
0.0094841 348.205
