y rho
0 0.00064317
0.000155477 0.00064317
0.000310954 0.00064317
0.000466431 0.00064317
0.000621908 0.00064317
0.000777385 0.00064317
0.000932862 0.00064317
0.00108834 0.00064317
0.00124382 0.00064317
0.00139929 0.00064317
0.00155477 0.00064317
0.00171025 0.00064317
0.00186572 0.00064317
0.0020212 0.00064317
0.00217668 0.00064317
0.00233216 0.00064317
0.00248763 0.00064317
0.00264311 0.00064317
0.00279859 0.000643171
0.00295406 0.000643173
0.00310954 0.00064318
0.00326502 0.000643204
0.00342049 0.000643283
0.00357597 0.000643548
0.00373145 0.000644425
0.00388693 0.000647324
0.0040424 0.000656882
0.00419788 0.000688285
0.00435336 0.000786858
0.00450883 0.00104502
0.00466431 0.00151947
0.00481979 0.0020918
0.00497526 0.00256616
0.00513074 0.00286133
0.00528622 0.00301315
0.0054417 0.00308213
0.00559717 0.00310982
0.00575265 0.00311819
0.00590813 0.00311773
0.0060636 0.00311333
0.00621908 0.00310736
0.00637456 0.00310104
0.00653004 0.00309509
0.00668551 0.00308998
0.00684099 0.00308598
0.00699647 0.00308327
0.00715194 0.00308186
0.00730742 0.00308169
0.0074629 0.0030826
0.00761837 0.00308438
0.00777385 0.00308682
0.00792933 0.00308975
0.00808481 0.00309308
0.00824028 0.00309677
0.00839576 0.00310085
0.00855124 0.00310537
0.00870671 0.00311034
0.00886219 0.00311567
0.00901767 0.00312115
0.00917314 0.00312635
0.00932862 0.00313054
0.0094841 0.00313054
