y p
0 99.999
0.000155477 99.999
0.000310954 99.999
0.000466431 99.999
0.000621908 99.999
0.000777385 99.999
0.000932862 99.999
0.00108834 99.999
0.00124382 99.999
0.00139929 99.999
0.00155477 99.999
0.00171025 99.999
0.00186572 99.999
0.0020212 99.999
0.00217668 99.999
0.00233216 99.999
0.00248763 99.999
0.00264311 99.999
0.00279859 99.9992
0.00295406 99.9997
0.00310954 100.002
0.00326502 100.008
0.00342049 100.03
0.00357597 100.104
0.00373145 100.365
0.00388693 101.288
0.0040424 104.613
0.00419788 116.795
0.00435336 160.8
0.00450883 293.393
0.00466431 564.827
0.00481979 915.129
0.00497526 1216.75
0.00513074 1409.05
0.00528622 1510.42
0.0054417 1558.65
0.00559717 1580.48
0.00575265 1590.12
0.00590813 1594.32
0.0060636 1596.1
0.00621908 1596.8
0.00637456 1597
0.00653004 1596.92
0.00668551 1596.64
0.00684099 1596.18
0.00699647 1595.49
0.00715194 1594.54
0.00730742 1593.31
0.0074629 1591.76
0.00761837 1589.92
0.00777385 1587.85
0.00792933 1585.67
0.00808481 1583.53
0.00824028 1581.64
0.00839576 1580.19
0.00855124 1579.37
0.00870671 1579.26
0.00886219 1579.89
0.00901767 1581.14
0.00917314 1582.76
0.00932862 1584.41
0.0094841 1584.41
