y p
0 99.999
0.000155477 99.999
0.000310954 99.999
0.000466431 99.999
0.000621908 99.999
0.000777385 99.999
0.000932862 99.999
0.00108834 99.999
0.00124382 99.999
0.00139929 99.999
0.00155477 99.999
0.00171025 99.999
0.00186572 99.999
0.0020212 99.999
0.00217668 99.999
0.00233216 99.999
0.00248763 99.999
0.00264311 99.9991
0.00279859 99.9994
0.00295406 100
0.00310954 100.004
0.00326502 100.014
0.00342049 100.05
0.00357597 100.172
0.00373145 100.587
0.00388693 102.026
0.0040424 107.107
0.00419788 125.19
0.00435336 184.243
0.00450883 334.275
0.00466431 609.55
0.00481979 959.472
0.00497526 1269.03
0.00513074 1472.68
0.00528622 1582.48
0.0054417 1635.24
0.00559717 1658.96
0.00575265 1669.12
0.00590813 1673.26
0.0060636 1674.84
0.00621908 1675.46
0.00637456 1675.82
0.00653004 1676.23
0.00668551 1676.8
0.00684099 1677.58
0.00699647 1678.55
0.00715194 1679.68
0.00730742 1680.92
0.0074629 1682.2
0.00761837 1683.49
0.00777385 1684.74
0.00792933 1685.89
0.00808481 1686.94
0.00824028 1687.85
0.00839576 1688.63
0.00855124 1689.27
0.00870671 1689.79
0.00886219 1690.19
0.00901767 1690.49
0.00917314 1690.71
0.00932862 1690.85
0.0094841 1690.85
