y T
0 300
0.000155477 300
0.000310954 300
0.000466431 300
0.000621908 300
0.000777385 300
0.000932862 300
0.00108834 300
0.00124382 300
0.00139929 300
0.00155477 300
0.00171025 300
0.00186572 300
0.0020212 300
0.00217668 300
0.00233216 300
0.00248763 300
0.00264311 300
0.00279859 300
0.00295406 300.002
0.00310954 300.005
0.00326502 300.018
0.00342049 300.061
0.00357597 300.214
0.00373145 300.77
0.00388693 302.844
0.0040424 310.602
0.00419788 338.353
0.00435336 415.493
0.00450883 537.979
0.00466431 647.606
0.00481979 715.291
0.00497526 750.361
0.00513074 767.194
0.00528622 775.008
0.0054417 778.632
0.00559717 780.383
0.00575265 781.328
0.00590813 781.951
0.0060636 782.471
0.00621908 782.984
0.00637456 783.534
0.00653004 784.136
0.00668551 784.791
0.00684099 785.488
0.00699647 786.213
0.00715194 786.947
0.00730742 787.666
0.0074629 788.348
0.00761837 788.967
0.00777385 789.503
0.00792933 789.935
0.00808481 790.249
0.00824028 790.436
0.00839576 790.495
0.00855124 790.429
0.00870671 790.253
0.00886219 789.993
0.00901767 789.685
0.00917314 789.385
0.00932862 789.174
0.0094841 789.174
