y v_t
0 1710.23
0.000155477 1710.23
0.000310954 1710.23
0.000466431 1710.23
0.000621908 1710.23
0.000777385 1710.23
0.000932862 1710.23
0.00108834 1710.23
0.00124382 1710.23
0.00139929 1710.23
0.00155477 1710.23
0.00171025 1710.23
0.00186572 1710.23
0.0020212 1710.23
0.00217668 1710.23
0.00233216 1710.23
0.00248763 1710.23
0.00264311 1710.23
0.00279859 1710.22
0.00295406 1710.22
0.00310954 1710.2
0.00326502 1710.12
0.00342049 1709.88
0.00357597 1709.11
0.00373145 1706.59
0.00388693 1698.51
0.0040424 1673.28
0.00419788 1598.55
0.00435336 1417.82
0.00450883 1119.1
0.00466431 799.035
0.00481979 556.907
0.00497526 410.83
0.00513074 334.622
0.00528622 298.277
0.0054417 281.814
0.00559717 274.602
0.00575265 271.537
0.00590813 270.277
0.0060636 269.766
0.00621908 269.531
0.00637456 269.361
0.00653004 269.165
0.00668551 268.907
0.00684099 268.579
0.00699647 268.187
0.00715194 267.746
0.00730742 267.272
0.0074629 266.784
0.00761837 266.302
0.00777385 265.84
0.00792933 265.412
0.00808481 265.027
0.00824028 264.69
0.00839576 264.404
0.00855124 264.167
0.00870671 263.977
0.00886219 263.829
0.00901767 263.718
0.00917314 263.639
0.00932862 263.584
0.0094841 263.524
