y rho
0 0.015407
0.005 0.0153965
0.01 0.0153862
0.015 0.0153759
0.02 0.0153658
0.025 0.0153558
0.03 0.0153458
0.035 0.015336
0.04 0.0153263
0.045 0.0153167
0.05 0.0153072
0.055 0.0152977
0.06 0.0152884
0.065 0.0152792
0.07 0.0152701
0.075 0.0152611
0.08 0.0152522
0.085 0.0152435
0.09 0.0152348
0.095 0.0152262
0.1 0.0152177
0.105 0.0152093
0.11 0.015201
0.115 0.0151929
0.12 0.0151848
0.125 0.0151768
0.13 0.015169
0.135 0.0151612
0.14 0.0151535
0.145 0.015146
0.15 0.0151385
0.155 0.0151312
0.16 0.0151239
0.165 0.0151168
0.17 0.0151097
0.175 0.0151028
0.18 0.0150959
0.185 0.0150892
0.19 0.0150825
0.195 0.015076
0.2 0.0150696
0.205 0.0150632
0.21 0.015057
0.215 0.0150509
0.22 0.0150448
0.225 0.0150389
0.23 0.0150331
0.235 0.0150274
0.24 0.0150217
0.245 0.0150162
0.25 0.0150108
0.255 0.0150055
0.26 0.0150003
0.265 0.0149951
0.27 0.0149901
0.275 0.0149852
0.28 0.0149804
0.285 0.0149757
0.29 0.0149711
0.295 0.0149666
0.3 0.0149622
0.305 0.0149579
0.31 0.0149537
0.315 0.0149496
0.32 0.0149456
0.325 0.0149417
0.33 0.0149379
0.335 0.0149342
0.34 0.0149306
0.345 0.0149271
0.35 0.0149237
0.355 0.0149204
0.36 0.0149173
0.365 0.0149142
0.37 0.0149112
0.375 0.0149083
0.38 0.0149055
0.385 0.0149029
0.39 0.0149003
0.395 0.0148978
0.4 0.0148955
0.405 0.0148932
0.41 0.014891
0.415 0.014889
0.42 0.014887
0.425 0.0148852
0.43 0.0148834
0.435 0.0148818
0.44 0.0148802
0.445 0.0148788
0.45 0.0148774
0.455 0.0148762
0.46 0.0148751
0.465 0.014874
0.47 0.0148731
0.475 0.0148723
0.48 0.0148715
0.485 0.0148709
0.49 0.0148704
0.495 0.01487
0.5 0.0148697
0.505 0.0148695
0.51 0.0148694
0.515 0.0148694
0.52 0.0148695
0.525 0.0148697
0.53 0.01487
0.535 0.0148705
0.54 0.014871
0.545 0.0148716
0.55 0.0148724
0.555 0.0148732
0.56 0.0148742
0.565 0.0148752
0.57 0.0148764
0.575 0.0148776
0.58 0.014879
0.585 0.0148805
0.59 0.0148821
0.595 0.0148838
0.6 0.0148856
0.605 0.0148875
0.61 0.0148895
0.615 0.0148916
0.62 0.0148938
0.625 0.0148961
0.63 0.0148986
0.635 0.0149011
0.64 0.0149038
0.645 0.0149065
0.65 0.0149094
0.655 0.0149124
0.66 0.0149155
0.665 0.0149187
0.67 0.014922
0.675 0.0149254
0.68 0.0149289
0.685 0.0149326
0.69 0.0149363
0.695 0.0149402
0.7 0.0149442
0.705 0.0149482
0.71 0.0149524
0.715 0.0149567
0.72 0.0149611
0.725 0.0149657
0.73 0.0149703
0.735 0.014975
0.74 0.0149799
0.745 0.0149849
0.75 0.01499
0.755 0.0149952
0.76 0.0150005
0.765 0.0150059
0.77 0.0150115
0.775 0.0150171
0.78 0.0150229
0.785 0.0150288
0.79 0.0150348
0.795 0.0150409
0.8 0.0150471
0.805 0.0150535
0.81 0.0150599
0.815 0.0150665
0.82 0.0150732
0.825 0.0150801
0.83 0.015087
0.835 0.0150941
0.84 0.0151012
0.845 0.0151085
0.85 0.0151159
0.855 0.0151235
0.86 0.0151311
0.865 0.0151389
0.87 0.0151468
0.875 0.0151548
0.88 0.015163
0.885 0.0151712
0.89 0.0151796
0.895 0.0151881
0.9 0.0151968
0.905 0.0152055
0.91 0.0152144
0.915 0.0152234
0.92 0.0152325
0.925 0.0152418
0.93 0.0152512
0.935 0.0152607
0.94 0.0152703
0.945 0.0152801
0.95 0.01529
0.955 0.0153
0.96 0.0153102
0.965 0.0153204
0.97 0.0153308
0.975 0.0153414
0.98 0.0153521
0.985 0.0153629
0.99 0.0153738
0.995 0.0153849
1 0.0153961
1.005 0.0154074
