y p
0 938.922
0.005 938.922
0.01 938.805
0.015 938.306
0.02 937.171
0.025 935.272
0.03 932.739
0.035 929.967
0.04 927.441
0.045 925.511
0.05 924.269
0.055 923.592
0.06 923.281
0.065 923.16
0.07 923.121
0.075 923.11
0.08 923.108
0.085 923.107
0.09 923.107
0.095 923.107
0.1 923.107
0.105 923.107
0.11 923.107
0.115 923.107
0.12 923.107
0.125 923.107
0.13 923.107
0.135 923.107
0.14 923.107
0.145 923.107
0.15 923.107
0.155 923.107
0.16 923.107
0.165 923.107
0.17 923.107
0.175 923.107
0.18 923.107
0.185 923.107
0.19 923.107
0.195 923.107
0.2 923.107
0.205 923.107
0.21 923.107
0.215 923.107
0.22 923.107
0.225 923.107
0.23 923.107
0.235 923.107
0.24 923.107
0.245 923.107
0.25 923.107
0.255 923.107
0.26 923.107
0.265 923.107
0.27 923.107
0.275 923.107
0.28 923.107
0.285 923.107
0.29 923.107
0.295 923.107
0.3 923.107
0.305 923.107
0.31 923.107
0.315 923.107
0.32 923.107
0.325 923.107
0.33 923.107
0.335 923.107
0.34 923.107
0.345 923.107
0.35 923.107
0.355 923.107
0.36 923.107
0.365 923.107
0.37 923.107
0.375 923.107
0.38 923.107
0.385 923.107
0.39 923.107
0.395 923.107
0.4 923.107
0.405 923.107
0.41 923.107
0.415 923.107
0.42 923.107
0.425 923.107
0.43 923.107
0.435 923.107
0.44 923.107
0.445 923.107
0.45 923.107
0.455 923.107
0.46 923.107
0.465 923.107
0.47 923.107
0.475 923.107
0.48 923.107
0.485 923.107
0.49 923.107
0.495 923.107
0.5 923.107
0.505 923.107
0.51 923.107
0.515 923.107
0.52 923.107
0.525 923.107
0.53 923.107
0.535 923.107
0.54 923.107
0.545 923.107
0.55 923.107
0.555 923.107
0.56 923.107
0.565 923.107
0.57 923.107
0.575 923.107
0.58 923.107
0.585 923.107
0.59 923.107
0.595 923.107
0.6 923.107
0.605 923.107
0.61 923.107
0.615 923.107
0.62 923.107
0.625 923.107
0.63 923.107
0.635 923.107
0.64 923.107
0.645 923.107
0.65 923.107
0.655 923.107
0.66 923.107
0.665 923.107
0.67 923.107
0.675 923.107
0.68 923.107
0.685 923.107
0.69 923.107
0.695 923.107
0.7 923.107
0.705 923.107
0.71 923.107
0.715 923.107
0.72 923.107
0.725 923.107
0.73 923.107
0.735 923.107
0.74 923.107
0.745 923.107
0.75 923.107
0.755 923.107
0.76 923.107
0.765 923.107
0.77 923.107
0.775 923.107
0.78 923.107
0.785 923.107
0.79 923.107
0.795 923.107
0.8 923.107
0.805 923.107
0.81 923.107
0.815 923.107
0.82 923.107
0.825 923.107
0.83 923.107
0.835 923.107
0.84 923.107
0.845 923.107
0.85 923.107
0.855 923.107
0.86 923.107
0.865 923.107
0.87 923.107
0.875 923.107
0.88 923.107
0.885 923.107
0.89 923.107
0.895 923.107
0.9 923.107
0.905 923.107
0.91 923.107
0.915 923.107
0.92 923.107
0.925 923.107
0.93 923.108
0.935 923.11
0.94 923.118
0.945 923.147
0.95 923.227
0.955 923.421
0.96 923.823
0.965 924.54
0.97 925.638
0.975 927.073
0.98 928.657
0.985 930.108
0.99 931.21
0.995 931.96
1 932.555
1.005 932.555
