y T
0 142.398
0.005 142.398
0.01 142.381
0.015 142.305
0.02 142.133
0.025 141.845
0.03 141.461
0.035 141.04
0.04 140.657
0.045 140.365
0.05 140.176
0.055 140.074
0.06 140.026
0.065 140.008
0.07 140.002
0.075 140
0.08 140
0.085 140
0.09 140
0.095 140
0.1 140
0.105 140
0.11 140
0.115 140
0.12 140
0.125 140
0.13 140
0.135 140
0.14 140
0.145 140
0.15 140
0.155 140
0.16 140
0.165 140
0.17 140
0.175 140
0.18 140
0.185 140
0.19 140
0.195 140
0.2 140
0.205 140
0.21 140
0.215 140
0.22 140
0.225 140
0.23 140
0.235 140
0.24 140
0.245 140
0.25 140
0.255 140
0.26 140
0.265 140
0.27 140
0.275 140
0.28 140
0.285 140
0.29 140
0.295 140
0.3 140
0.305 140
0.31 140
0.315 140
0.32 140
0.325 140
0.33 140
0.335 140
0.34 140
0.345 140
0.35 140
0.355 140
0.36 140
0.365 140
0.37 140
0.375 140
0.38 140
0.385 140
0.39 140
0.395 140
0.4 140
0.405 140
0.41 140
0.415 140
0.42 140
0.425 140
0.43 140
0.435 140
0.44 140
0.445 140
0.45 140
0.455 140
0.46 140
0.465 140
0.47 140
0.475 140
0.48 140
0.485 140
0.49 140
0.495 140
0.5 140
0.505 140
0.51 140
0.515 140
0.52 140
0.525 140
0.53 140
0.535 140
0.54 140
0.545 140
0.55 140
0.555 140
0.56 140
0.565 140
0.57 140
0.575 140
0.58 140
0.585 140
0.59 140
0.595 140
0.6 140
0.605 140
0.61 140
0.615 140
0.62 140
0.625 140
0.63 140
0.635 140
0.64 140
0.645 140
0.65 140
0.655 140
0.66 140
0.665 140
0.67 140
0.675 140
0.68 140
0.685 140
0.69 140
0.695 140
0.7 140
0.705 140
0.71 140
0.715 140
0.72 140
0.725 140
0.73 140
0.735 140
0.74 140
0.745 140
0.75 140
0.755 140
0.76 140
0.765 140
0.77 140
0.775 140
0.78 140
0.785 140
0.79 140
0.795 140
0.8 140
0.805 140
0.81 140
0.815 140
0.82 140
0.825 140
0.83 140
0.835 140
0.84 140
0.845 140
0.85 140
0.855 140
0.86 140
0.865 140
0.87 140
0.875 140
0.88 140
0.885 140
0.89 140
0.895 140
0.9 140
0.905 140
0.91 140
0.915 140
0.92 140
0.925 140
0.93 140
0.935 140.001
0.94 140.003
0.945 140.012
0.95 140.047
0.955 140.168
0.96 140.547
0.965 141.62
0.97 144.369
0.975 150.774
0.98 164.553
0.985 192.636
0.99 248.856
0.995 364.883
1 629.037
1.005 1370.96
