y v
0 2.28652
0.005 2.28652
0.01 2.25846
0.015 2.17856
0.02 2.01225
0.025 1.73955
0.03 1.37741
0.035 0.981167
0.04 0.620068
0.045 0.344037
0.05 0.166214
0.055 0.0694152
0.06 0.0248718
0.065 0.00757997
0.07 0.00194405
0.075 0.000413892
0.08 7.18295e-05
0.085 9.90879e-06
0.09 1.04744e-06
0.095 8.01228e-08
0.1 4.01259e-09
0.105 1.06226e-10
0.11 7.05798e-13
0.115 3.78241e-15
0.12 8.691e-19
0.125 1.58101e-22
0.13 3.33099e-26
0.135 7.59234e-30
0.14 1.82023e-33
0.145 4.14812e-37
0.15 8.25261e-40
0.155 1.90965e-43
0.16 2.66448e-47
0.165 5.46749e-51
0.17 1.07391e-54
0.175 1.98694e-58
0.18 3.565e-62
0.185 5.94964e-66
0.19 9.10008e-70
0.195 1.22206e-73
0.2 1.34682e-77
0.205 1.20887e-81
0.21 1.30666e-85
0.215 0
0.22 0
0.225 0
0.23 0
0.235 0
0.24 0
0.245 0
0.25 0
0.255 0
0.26 0
0.265 0
0.27 0
0.275 0
0.28 0
0.285 0
0.29 0
0.295 0
0.3 0
0.305 0
0.31 0
0.315 0
0.32 0
0.325 0
0.33 0
0.335 0
0.34 0
0.345 0
0.35 0
0.355 0
0.36 0
0.365 0
0.37 0
0.375 0
0.38 0
0.385 0
0.39 0
0.395 0
0.4 0
0.405 0
0.41 0
0.415 0
0.42 0
0.425 0
0.43 0
0.435 0
0.44 0
0.445 0
0.45 0
0.455 0
0.46 0
0.465 0
0.47 0
0.475 0
0.48 0
0.485 0
0.49 0
0.495 0
0.5 0
0.505 0
0.51 0
0.515 0
0.52 0
0.525 0
0.53 0
0.535 0
0.54 0
0.545 0
0.55 0
0.555 0
0.56 0
0.565 0
0.57 0
0.575 0
0.58 0
0.585 0
0.59 0
0.595 0
0.6 0
0.605 0
0.61 0
0.615 0
0.62 0
0.625 0
0.63 0
0.635 0
0.64 0
0.645 0
0.65 0
0.655 0
0.66 0
0.665 0
0.67 0
0.675 0
0.68 0
0.685 0
0.69 0
0.695 0
0.7 0
0.705 0
0.71 0
0.715 0
0.72 0
0.725 0
0.73 0
0.735 0
0.74 0
0.745 0
0.75 0
0.755 0
0.76 0
0.765 0
0.77 0
0.775 0
0.78 0
0.785 0
0.79 0
0.795 0
0.8 0
0.805 0
0.81 0
0.815 0
0.82 0
0.825 0
0.83 0
0.835 0
0.84 0
0.845 0
0.85 0
0.855 0
0.86 0
0.865 0
0.87 0
0.875 0
0.88 0
0.885 0
0.89 0
0.895 0
0.9 1.14006e-11
0.905 5.19384e-10
0.91 1.13674e-08
0.915 1.59121e-07
0.92 1.6007e-06
0.925 1.2328e-05
0.93 7.56211e-05
0.935 0.000379528
0.94 0.00158891
0.945 0.00562998
0.95 0.0170744
0.955 0.0447177
0.96 0.101868
0.965 0.203061
0.97 0.356084
0.975 0.552213
0.98 0.761748
0.985 0.940158
0.99 1.03835
0.995 0.990457
1 0.616014
1.005 0.616014
