y v_n
0 6.87589e-05
0.005 -6.87589e-05
0.01 -0.000206212
0.015 -0.00034242
0.02 -0.000476249
0.025 -0.000607522
0.03 -0.000736221
0.035 -0.000862356
0.04 -0.000985943
0.045 -0.001107
0.05 -0.00122553
0.055 -0.00134157
0.06 -0.00145512
0.065 -0.0015662
0.07 -0.00167484
0.075 -0.00178103
0.08 -0.00188481
0.085 -0.00198619
0.09 -0.00208518
0.095 -0.0021818
0.1 -0.00227608
0.105 -0.00236802
0.11 -0.00245764
0.115 -0.00254496
0.12 -0.00263
0.125 -0.00271277
0.13 -0.00279329
0.135 -0.00287159
0.14 -0.00294767
0.145 -0.00302156
0.15 -0.00309326
0.155 -0.00316281
0.16 -0.00323022
0.165 -0.0032955
0.17 -0.00335868
0.175 -0.00341976
0.18 -0.00347878
0.185 -0.00353575
0.19 -0.00359068
0.195 -0.0036436
0.2 -0.00369452
0.205 -0.00374346
0.21 -0.00379044
0.215 -0.00383549
0.22 -0.0038786
0.225 -0.00391982
0.23 -0.00395915
0.235 -0.00399661
0.24 -0.00403223
0.245 -0.00406602
0.25 -0.004098
0.255 -0.00412818
0.26 -0.0041566
0.265 -0.00418327
0.27 -0.0042082
0.275 -0.00423142
0.28 -0.00425294
0.285 -0.00427279
0.29 -0.00429099
0.295 -0.00430755
0.3 -0.00432249
0.305 -0.00433584
0.31 -0.00434761
0.315 -0.00435783
0.32 -0.00436651
0.325 -0.00437366
0.33 -0.00437933
0.335 -0.00438351
0.34 -0.00438624
0.345 -0.00438753
0.35 -0.0043874
0.355 -0.00438587
0.36 -0.00438297
0.365 -0.00437871
0.37 -0.00437311
0.375 -0.0043662
0.38 -0.00435799
0.385 -0.0043485
0.39 -0.00433775
0.395 -0.00432578
0.4 -0.00431258
0.405 -0.00429819
0.41 -0.00428263
0.415 -0.00426591
0.42 -0.00424806
0.425 -0.0042291
0.43 -0.00420905
0.435 -0.00418792
0.44 -0.00416575
0.445 -0.00414254
0.45 -0.00411832
0.455 -0.00409312
0.46 -0.00406695
0.465 -0.00403983
0.47 -0.00401178
0.475 -0.00398283
0.48 -0.003953
0.485 -0.0039223
0.49 -0.00389075
0.495 -0.00385839
0.5 -0.00382522
0.505 -0.00379128
0.51 -0.00375657
0.515 -0.00372113
0.52 -0.00368496
0.525 -0.00364811
0.53 -0.00361057
0.535 -0.00357238
0.54 -0.00353356
0.545 -0.00349412
0.55 -0.00345409
0.555 -0.00341349
0.56 -0.00337235
0.565 -0.00333067
0.57 -0.00328848
0.575 -0.00324581
0.58 -0.00320267
0.585 -0.00315908
0.59 -0.00311507
0.595 -0.00307066
0.6 -0.00302586
0.605 -0.00298071
0.61 -0.00293521
0.615 -0.00288939
0.62 -0.00284328
0.625 -0.00279688
0.63 -0.00275023
0.635 -0.00270334
0.64 -0.00265624
0.645 -0.00260894
0.65 -0.00256147
0.655 -0.00251385
0.66 -0.00246609
0.665 -0.00241822
0.67 -0.00237027
0.675 -0.00232224
0.68 -0.00227416
0.685 -0.00222605
0.69 -0.00217793
0.695 -0.00212983
0.7 -0.00208176
0.705 -0.00203374
0.71 -0.0019858
0.715 -0.00193795
0.72 -0.00189021
0.725 -0.00184261
0.73 -0.00179516
0.735 -0.00174789
0.74 -0.00170082
0.745 -0.00165396
0.75 -0.00160734
0.755 -0.00156097
0.76 -0.00151488
0.765 -0.00146909
0.77 -0.00142361
0.775 -0.00137847
0.78 -0.00133368
0.785 -0.00128927
0.79 -0.00124526
0.795 -0.00120166
0.8 -0.00115849
0.805 -0.00111578
0.81 -0.00107355
0.815 -0.0010318
0.82 -0.000990572
0.825 -0.000949873
0.83 -0.000909726
0.835 -0.000870149
0.84 -0.000831162
0.845 -0.000792783
0.85 -0.000755032
0.855 -0.000717928
0.86 -0.000681489
0.865 -0.000645734
0.87 -0.000610683
0.875 -0.000576352
0.88 -0.000542761
0.885 -0.000509929
0.89 -0.000477874
0.895 -0.000446614
0.9 -0.000416166
0.905 -0.00038655
0.91 -0.000357784
0.915 -0.000329884
0.92 -0.00030287
0.925 -0.000276759
0.93 -0.000251567
0.935 -0.000227314
0.94 -0.000204016
0.945 -0.000181691
0.95 -0.000160355
0.955 -0.000140027
0.96 -0.000120723
0.965 -0.000102459
0.97 -8.52532e-05
0.975 -6.91218e-05
0.98 -5.40812e-05
0.985 -4.01479e-05
0.99 -2.7337e-05
0.995 -1.56559e-05
1 -5.0491e-06
1.005 5.0491e-06
