y v_t
0 0
0.00905775 0
0.0181155 0
0.0271733 0
0.036231 0
0.0452888 0
0.0543465 0
0.0634043 0
0.072462 0
0.0815198 0
0.0905775 0
0.0996353 0
0.108693 0
0.117751 0
0.126809 0
0.135866 0
0.144924 0
0.153982 0
0.16304 0
0.172097 0
0.181155 0
0.190213 0
0.199271 0
0.208328 0
0.217386 0
0.226444 0
0.235502 0
0.244559 0
0.253617 0
0.262675 0
0.271733 0
0.28079 0
0.289848 0
0.298906 0
0.307964 0
0.317021 0
0.326079 0
0.335137 0
0.344195 0
0.353252 0
0.36231 0
0.371368 0
0.380426 0
0.389483 0
0.398541 0
0.407599 0
0.416657 0
0.425714 0
0.434772 0
0.44383 0
0.452888 0
0.461945 0
